sut,cell,arm,rep,gen,cum_own_hv
qwen,2,raw,2,27,0.8440732367045886
qwen,2,raw,2,28,0.8479498340202881
qwen,2,raw,2,29,0.8499071411900334
qwen,2,raw,2,30,0.8499071411900334
qwen,2,raw,2,31,0.8494749438834261
qwen,2,raw,2,32,0.8494085582705947
qwen,2,raw,2,33,0.8494085582705947
qwen,2,raw,2,34,0.8519026181540331
qwen,2,raw,2,35,0.8596315289939845
qwen,2,raw,2,36,0.8597073435962379
qwen,2,raw,2,37,0.8590137642604094
qwen,2,raw,2,38,0.8597584686300775
qwen,2,raw,2,39,0.8611542593251477
qwen,2,raw,2,40,0.8611542593251477
qwen,2,raw,2,41,0.8607534297235735
qwen,2,raw,2,42,0.8608422266828405
qwen,2,raw,2,43,0.8610286012784139
qwen,2,raw,2,44,0.8610286012784139
qwen,2,raw,2,45,0.8608263473252992
qwen,2,raw,2,46,0.8608263473252992
qwen,2,raw,2,47,0.8608545158897434
qwen,2,raw,2,48,0.8608545158897434
qwen,2,raw,2,49,0.8608545158897434
qwen,26,raw,2,0,0.27475100554324483
qwen,26,raw,2,1,0.28154893953341975
qwen,26,raw,2,2,0.28154893953341975
qwen,26,raw,2,3,0.28154893953341975
qwen,26,raw,2,4,0.2899055765555786
qwen,26,raw,2,5,0.3147131691689606
qwen,26,raw,2,6,0.3172765570628392
qwen,26,raw,2,7,0.3172765570628392
qwen,26,raw,2,8,0.3172426497166579
qwen,26,raw,2,9,0.3164206521289126
qwen,26,raw,2,10,0.3164206521289126
qwen,26,raw,2,11,0.3288758741663741
qwen,26,raw,2,12,0.34399589072834624
qwen,26,raw,2,13,0.3439065170091194
qwen,26,raw,2,14,0.3438299233625243
qwen,26,raw,2,15,0.3453346326857716
qwen,26,raw,2,16,0.34974432770196384
qwen,26,raw,2,17,0.35300928181982616
qwen,26,raw,2,18,0.35300928181982616
qwen,26,raw,2,19,0.3900794121730435
qwen,26,raw,2,20,0.3900794121730435
qwen,26,raw,2,21,0.3898234082100628
qwen,26,raw,2,22,0.39036505450089054
qwen,26,raw,2,23,0.3929022575865637
qwen,26,raw,2,24,0.3927985343623448
qwen,26,raw,2,25,0.40807857149624605
qwen,26,raw,2,26,0.40807857149624605
qwen,26,raw,2,27,0.40801693367081
qwen,26,raw,2,28,0.4492703510879038
qwen,26,raw,2,29,0.4552176969053151
qwen,26,raw,2,30,0.4552176969053151
qwen,26,raw,2,31,0.4552176969053151
qwen,26,raw,2,32,0.45513514879050554
qwen,26,raw,2,33,0.4798199194777119
qwen,26,raw,2,34,0.4798199194777119
qwen,26,raw,2,35,0.47911332332873124
qwen,26,raw,2,36,0.47894981060479136
qwen,26,raw,2,37,0.47894981060479136
qwen,26,raw,2,38,0.47894981060479136
qwen,26,raw,2,39,0.47894981060479136
qwen,26,raw,2,40,0.47894981060479136
qwen,26,raw,2,41,0.47894981060479136
qwen,26,raw,2,42,0.4791456679771612
qwen,26,raw,2,43,0.4791456679771612
qwen,26,raw,2,44,0.47901753955954185
qwen,26,raw,2,45,0.47901753955954185
qwen,26,raw,2,46,0.4834347411587432
qwen,26,raw,2,47,0.4834347411587432
qwen,26,raw,2,48,0.4834347411587432
qwen,26,raw,2,49,0.483545801079309
qwen,28,raw,2,0,0.9980329716796273
